"id":"196749";"name":"Maasikajook Limpa 0,25l";"category":"SH-3-8-2";"brand":null;"price":0.39;"old_price":NaN;"discount_type":
"id":"804290";"name":"Tee ürdi kummeli Rimi Basic 20g";"category":"SH-13-17-98";"brand":null;"price":0.41;"old_price":NaN;"discount_type":
"id":"809242";"name":"Karamellid münt Rimi Basic 100g";"category":"SH-9-3-3";"brand":null;"price":0.41;"old_price":NaN;"discount_type":
"id":"937834";"name":"Mangokohuke Karums 45g";"category":"SH-11-2-7";"brand":null;"price":0.42;"old_price":0.54;"discount_type":regular
"id":"812875";"name":"Kohvikoor Rimi Basic 10% 200ml";"category":"SH-11-5-24";"brand":null;"price":0.43;"old_price":NaN;"discount_type":
"id":"811315";"name":"Rohelised oliivid Rimi Basic kivid. 180g/70g";"category":"SH-13-10-56";"brand":null;"price":0.43;"old_price":NaN;"discount_type":
"id":"804228";"name":"Makaron Knees-sarveke Rimi Basic 400g";"category":"SH-13-14-20";"brand":null;"price":0.43;"old_price":NaN;"discount_type":
"id":"995341";"name":"Mini lihapirukas Cannelle 20g";"category":"SH-6-6";"brand":null;"price":0.43;"old_price":NaN;"discount_type":
"id":"147406";"name":"Lahustuv pärm Dr.Oetker 7g";"category":"SH-13-13-83";"brand":null;"price":0.44;"old_price":NaN;"discount_type":
"id":"1350294";"name":"Vesi gaasiga Saaremaa 0,5l";"category":"SH-3-12-8";"brand":null;"price":0.44;"old_price":NaN;"discount_type":
"id":"812164";"name":"Must pipar Rimi Basic 20g";"category":"SH-13-12-75";"brand":null;"price":0.45;"old_price":NaN;"discount_type":
"id":"276039";"name":"Kartul pesemata, kg Eesti";"category":"SH-12-1-1";"brand":null;"price":0.45;"old_price":NaN;"discount_type":
"id":"7231094";"name":"Vihik ruuduline 18 lehte AW22";"category":"SH-10-45";"brand":null;"price":0.45;"old_price":NaN;"discount_type":
"id":"7231095";"name":"Vihik jooneline 18 lehte AW22";"category":"SH-10-7-25";"brand":null;"price":0.45;"old_price":NaN;"discount_type":
"id":"7249123";"name":"Liimipulk PVP 15g Lite";"category":"SH-10-52";"brand":null;"price":0.45;"old_price":NaN;"discount_type":
"id":"138796";"name":"Kartulipuder või ja tilliga 5 min. Maggi 35g";"category":"SH-13-8-40";"brand":null;"price":0.45;"old_price":NaN;"discount_type":
"id":"138797";"name":"Kartulipuder rõõsakoorega 5 min. Maggi 35g";"category":"SH-13-8-40";"brand":null;"price":0.45;"old_price":NaN;"discount_type":
"id":"150324";"name":"Vahukoore tardaine Dr.Oetker 9g";"category":"SH-13-13-79";"brand":null;"price":0.45;"old_price":NaN;"discount_type":
"id":"100973";"name":"Nätsukommid maasikamaitselised Chewits 29g";"category":"SH-9-3-2";"brand":null;"price":0.45;"old_price":NaN;"discount_type":
"id":"162138";"name":"Nätsukommid hapu õuna Chewits Xtreme 30g";"category":"SH-9-3-2";"brand":null;"price":0.45;"old_price":NaN;"discount_type":
"id":"299158";"name":"Dessert Zottis šhokolaadi Zott 115g";"category":"SH-11-2-2";"brand":null;"price":0.45;"old_price":NaN;"discount_type":
"id":"299322";"name":"Dessert Zottis vanilje Zott 115g";"category":"SH-11-2-2";"brand":null;"price":0.45;"old_price":NaN;"discount_type":
"id":"7029788";"name":"Kalmuküünal 8tööaeg P-2R punane";"category":"SH-10-9-45";"brand":null;"price":0.45;"old_price":NaN;"discount_type":
"id":"482783";"name":"Kalmuküünal 8tööaeg P-2";"category":"SH-10-9-45";"brand":null;"price":0.45;"old_price":NaN;"discount_type":
"id":"167976";"name":"Müslibatoon maasika ja jogurti Herkuless 25g";"category":"SH-13-3-17";"brand":null;"price":0.46;"old_price":NaN;"discount_type":
"id":"805800";"name":"Kassisööt Purrrfect loomalihaga 100g";"category":"SH-7-1-1";"brand":null;"price":0.47;"old_price":NaN;"discount_type":
"id":"805807";"name":"Kassisööt Purrrfect loomalihaga,linnulih,100g";"category":"SH-7-1-1";"brand":null;"price":0.47;"old_price":NaN;"discount_type":
"id":"805808";"name":"Kassisööt Purrrfect kala lihaga 100g";"category":"SH-7-1-1";"brand":null;"price":0.47;"old_price":NaN;"discount_type":
"id":"805779";"name":"Müslibatoon metsamarja jogurti Rimi 30g";"category":"SH-13-3-17";"brand":null;"price":0.48;"old_price":NaN;"discount_type":
