,Unnamed: 0,id,nimi,kategooria,hind,vana_hind,soodus
360,455,807737,ploomtomatid kooritud rimi 0.4kg,SH-13-10-63,0.78,,"
"
361,506,164252,šokolaadibatoon snickers 0.05kg,SH-9-9-21,0.79,,"
"
362,509,102307,närimiskumm eukalüptimaitseline orbit 0.014kg,SH-9-3-5,0.79,,"
"
363,508,105953,närimiskumm white fruit orbit 0.014kg,SH-9-3-5,0.79,,"
"
364,510,103154,närimiskumm winterfresh orbit 0.014kg,SH-9-3-5,0.79,,"
"
365,507,180214,kakaobatoon piimakreemi kinder delice 0.039kg,SH-9-9-21,0.79,,"
"
366,505,804297,pikateraline riis rimi basic 0.8kg,SH-13-15-90,0.79,,"
"
367,500,1365447,"karb.kaljamaitseline jook rimi basic1,5l",SH-3-6,0.79,,"
"
368,536,7092403,jääkraabits,SH-15-2-10,0.79,,"
"
369,503,136068,närimiskumm mustika orbit suhkruvaba 0.014kg,SH-9-3-5,0.79,,"
"
370,502,125585,närimiskumm apelsini orbit suhkruvaba 0.014kg,SH-9-3-5,0.79,,"
"
371,501,125478,karamellid barbarissi kalev caramel 0.12kg,SH-9-3-3,0.79,,"
"
372,511,177540,puuviljamaitselised kommid lotte 0.016kg,SH-9-3-4,0.79,,"
"
373,499,1360582,karboniseeritud karastusjook lemon rimi 0.5l,SH-3-7,0.79,,"
"
374,504,142448,vahvlibatoon šokolaadis chunky kitkat 0.04kg,SH-9-9-21,0.79,,"
"
375,512,1350086,vesi sidruni vichy classigue 1.5l,SH-3-12-9,0.79,,"
"
376,518,1350299,mineraliseeritud vesi värska 1.5l,SH-3-12-8,0.79,,"
"
377,514,168750,šokolaadibatoon kalev linnupiim 0.035kg,SH-9-9-21,0.79,,"
"
378,515,100786,piimašokolaadi batoon kinder bueno 0.043kg,SH-9-9-21,0.79,,"
"
379,516,196956,närimiskumm white strawberry orbit 0.014kg,SH-9-3-5,0.79,,"
"
380,517,104655,närimiskumm white freshmint orbit 0.014kg,SH-9-3-5,0.79,,"
"
381,519,1352737,vesi aura gaasita 1.5l pet,SH-3-12-8,0.79,,"
"
382,520,403110,tulemasin cricket original,10-54-105,0.79,,"
"
383,522,207009,sai perenaise eesti pagar 0.32kg,SH-6-7-22,0.79,,"
"
384,525,810754,koera maiused ica spiraalid 0.07kg,SH-7-2-5,0.79,,"
"
385,526,808828,vjäätis vanilli vahvlitops rimi 0.12l 0.065kg,SH-4-1-7,0.79,,"
"
386,528,966036,koorejäätis raks küpsistega 0.11l 0.056kg,SH-4-1-7,0.79,1.05,"regular
"
387,533,812713,täistera riisivahvlid ilma soolata rimi 0.1kg,SH-13-1-2,0.79,,"
"
388,534,812722,täistera riisivahvlid meresoolaga rimi 0.1kg,SH-13-1-2,0.79,,"
"
389,535,211211,pirn comice kg,SH-12-5-27,0.79,1.49,"regular
"
390,498,734478,koeraeine pedigree junior 0.1kg,SH-7-2-4,0.79,,"
"
391,513,1352738,vesi aura spring gaasiga 1.5l,SH-3-12-8,0.79,,"
"
392,497,206273,jäätis vanilli šok.gl vanilla ninja 0.08kg,SH-4-1-9,0.79,,"
"
393,485,115329,kiirnuudlid kanalihamaitselised rolton 0.06kg,SH-13-8-39,0.79,,"
"
394,495,734477,koerasööt pedigree kana&köögiv 0.1kg,SH-7-2-4,0.79,,"
"
395,496,1003905,närimiskumm refreshers peppermint orbit 0.0156kg,SH-9-3-5,0.79,,"
"
396,459,980926,kohupiimakreem mangokisselliga alma 0.14kg,SH-11-4-21,0.79,,"
"
397,460,813689,multipuuvilja mahlajook rimi basic  1l,SH-3-8-2,0.79,,"
"
398,462,987572,koorejäätis vahvlitorus raks 0.11l 0.068kg,SH-4-1-7,0.79,1.09,"regular
"
399,463,987573,sidruni-koorejäätis küpsistega raks 0.11l 0.06kg,SH-4-1-7,0.79,1.05,"regular
"
400,464,993109,piim banaanilisand ja vitam väike tom 0.2l,SH-11-8-35,0.79,,"
"
401,465,995441,spinati-fetajuustu toruke filotainas 0.1kg,SH-6-6,0.79,,"
"
402,466,1011431,batoon india pähklitega emco gluteenivaba 0.035kg,SH-13-3-16,0.79,,"
"
403,467,1011430,batoon mandli-pistaatsia emco glut.vaba 0.035kg,SH-13-3-16,0.79,,"
"
404,468,1359699,mineraalvesi akvile gaseeritud 1.5l,SH-3-12-8,0.79,,"
"
405,469,996018,kõrgkuum piim šok.lisa ja vitami 0.2l,SH-11-8-35,0.79,,"
"
406,470,102923,vormiküpsised ekstra kalev 0.18kg,SH-9-5-5,0.79,1.15,"loyalty
"
407,471,1358316,vitam.vesi vichy vitamin daily 0.75l,SH-3-13,0.79,1.19,"loyalty
"
408,472,1358309,vitam.vesi vichy vitamin sport 0.75l,SH-3-13,0.79,1.19,"loyalty
"
409,474,804397,päevalilleseemned kooritud awake 0.15kg,SH-9-4-12,0.79,1.25,"loyalty
"
410,473,808637,roheline aeduba tükeldatud rimi 400g,SH-4-3-14,0.79,1.19,"loyalty
"
411,484,101343,kanasupp nuudlitega podavka 0.062kg,SH-13-8-41,0.79,,"
"
412,477,198418,närimiskumm white melon mint orbit 0.014kg,SH-9-3-5,0.79,,"
"
413,478,1360186,karastusjook rimi apelsinilimonaad 0.5l,SH-3-7,0.79,,"
"
414,479,1360201,karastusjook rimi cola 0.5l,SH-3-7,0.79,,"
"
415,480,1361829,karb karastusjook limonaad rimi 0.5l,SH-3-7,0.79,,"
"
416,481,808813,šokolaadijäätis šok.tk rimi 0.12l 0.065kg,SH-4-1-7,0.79,,"
"
417,482,808822,jäätis marjatäidisega rimi 0.12l 0.072kg,SH-4-1-7,0.79,,"
"
418,483,811611,kartulipüree rimi express sibulaga 0.056kg,SH-13-8-40,0.79,,"
"
419,475,1003906,närimiskumm refreshers spearmint orbit 0.0156kg,SH-9-3-5,0.79,,"
"
420,486,115330,kiirnuudlid kanalihamai vürtsikad rolton 0.06kg,SH-13-8-39,0.79,,"
"
421,487,165629,kiirnuudlid juustu-ürdi knorr 0.061kg,SH-13-8-39,0.79,,"
"
422,488,1007226,kuskuss chedarri juustuga activus 0.06kg,SH-13-2-12,0.79,1.09,"loyalty
"
423,491,294721,till 0.03kg,SH-12-3,0.79,,"
"
424,493,260222,biskviitmaiustus kinder maxi king 0.035kg,SH-11-2-7,0.79,,"
"
425,494,734476,koeraeine pedigree koerale 0.1kg,SH-7-2-4,0.79,,"
"
426,543,1001099,vormiküpsised šokolaadi von ruster 0.16kg,SH-9-5-5,0.8,,"
"
427,544,912239,maasikajogurt tuubis danonki 0.07kg,SH-11-2-5,0.8,,"
"
428,542,213197,kiivi 1kl kg,SH-12-5-28,0.8,,"
"
429,545,1001105,vormiküpsised von ruster 0.16kg,SH-9-5-5,0.8,,"
"
430,540,802407,piimašokolaad poesia 0.1kg,SH-9-9-20,0.8,,"
"
431,539,170163,rosin seemneteta rimi kg,SH-9-4-11,0.8,,"
"
432,541,1001110,vormiküpsised jõhvika von ruster 0.16kg,SH-9-5-5,0.8,,"
"
433,546,1350501,"vesi aura plus pohla1,5l",SH-3-12-9,0.81,,"
"
434,547,1350502,vesi aura plus sidruni 1.5l pet,SH-3-12-9,0.81,,"
"
435,548,290825,pärmitaigna lihapirukas rimi pagaritelt 0.07kg,SH-6-6,0.81,,"
"
436,549,1368218,vesi aura rabarberi gaasiga 1.5l,SH-3-12-9,0.81,,"
"
437,550,1008166,šokolaadibatoon 2-pakk lion 0.06kg,SH-9-9-21,0.81,,"
"
438,556,923978,koorikleib rehe eesti pagar 0.2kg,SH-6-2-12,0.82,,"
"
439,554,917677,jogurt kookospallidega fantasia 0.098kg,SH-11-2-5,0.82,,"
"
440,555,993108,piim maasikalisand ja vitam väike tom 0.2l,SH-11-8-35,0.82,,"
"
441,551,1366358,vesi aura gaasita lisatud magneesiumiga 0.75l,SH-3-12-8,0.82,,"
"
442,552,1366689,õlu könig stadter 4.5% 0.33l,SH-1-6,0.82,,"
"
443,560,270939,banaan kg,SH-12-5-24,0.83,,"
"
444,561,802409,tume šokolaad poesia 0.1kg,SH-9-9-22,0.83,,"
"
445,563,811405,tükeldatud tomatid rimi basic 0.4kg,SH-13-10-63,0.83,,"
"
446,564,115332,kiirnuudlid juustu-peekonimaits rolton 0.06kg,SH-13-8-39,0.83,,"
"
447,565,803069,keefir rimi 2.5% 1kg,SH-11-1,0.83,,"
"
448,566,808827,jäätis vahtrasiirupi rimi 0.12l 0.073kg,SH-4-1-7,0.83,,"
"
449,567,177304,šokolaadibatoon tupla maxi 0.05kg,SH-9-9-21,0.83,,"
"
450,573,813934,šokolaadibatoon sarapuupähklitäidis rimi 0.046kg,SH-9-9-21,0.84,,"
"
451,574,801223,kassisööt purrrfect lihaga konserv 0.415kg,SH-7-1-1,0.84,,"
"
452,572,812721,riisi- ja tatravahvlid rimi 0.1kg,SH-13-1-2,0.84,,"
"
453,569,801221,kassisööt purrrfect kalaga konserv 0.415kg,SH-7-1-1,0.84,,"
"
454,570,801222,kassisööt purrrfect kanaga konserv 0.415kg,SH-7-1-1,0.84,,"
"
455,571,812714,mitmeviljavahvlid rimi 0.1kg,SH-13-1-2,0.84,,"
"
456,607,100273,jahvatatud paprika santa maria 0.022kg,SH-13-12-75,0.85,,"
"
457,608,185689,vahvlibatoon kex 0.06kg,SH-9-9-21,0.85,,"
"
458,609,1359650,jook vichy fresh lemon-lime 0.5l pet,SH-3-12-9,0.85,,"
"
459,610,200289,piim alma kile 2.5% 1l,SH-11-8-37,0.85,,"
"
460,612,809649,kaerapuder maasikatega rimi 0.055kg,SH-13-2-12,0.85,,"
"
461,613,165628,kiirnuudlid kanamaitselised knorr 0.057kg,SH-13-8-39,0.85,,"
"
462,614,165627,kiirnuudlid tomatimaitselise knorr 0.061kg,SH-13-8-39,0.85,,"
"
463,615,803528,kikerhernes rimi 0.4kg,SH-13-10-49,0.85,,"
"
464,617,282621,jogurt šokolaadi pallidega fantasia 0.1kg,SH-11-2-5,0.85,,"
"
465,621,980941,jogurt maasika emma laktoosivaba 0.11kg,SH-11-2-5,0.85,,"
"
466,618,809646,kaerapuder virsikutega rimi 0.055kg,SH-13-2-12,0.85,,"
"
467,619,809647,kaerapuder karamellimaits õuntega rimi 0.055kg,SH-13-2-12,0.85,,"
"
468,620,809648,kaerapuder kirssidega rimi 0.055kg,SH-13-2-12,0.85,,"
"
469,606,193097,batoon kalev maiuspala 0.04kg,SH-9-9-21,0.85,,"
"
470,616,803186,kohupiimakreem maasika rimi 0.15kg,SH-11-4-21,0.85,,"
"
471,605,184246,batoon tumeda šokolaadiga nature valley 0.042kg,SH-13-3-17,0.85,,"
"
472,586,976472,koorejäätis sõõrik väike tom 0.06kg 0.08l,SH-4-1-7,0.85,,"
"
473,603,100376,jahvatatud kaneel santa maria 0.022kg,SH-13-13-81,0.85,,"
"
474,575,811173,porgandi ja herne segu rimi 400g,SH-4-3-14,0.85,1.25,"loyalty
"
475,576,103703,piimašokolaad piimatäidisega kinder 0.05kg,SH-9-9-21,0.85,,"
"
476,577,128959,puravikupuljong gallina blanca 0kg,SH-13-8-43,0.85,,"
"
477,604,184241,batoon vahtrasiirupi nature valley 0.042kg,SH-13-3-17,0.85,,"
"
478,588,1370868,karb.jook vichy fresh bubbles orange 0.5l pet,SH-3-12-9,0.85,,"
"
479,589,1002661,vahvlibatoon pirnimaits täidisega kismet 0.055kg,SH-9-9-21,0.85,,"
"
480,590,1002660,vahvlibatoon kismet geisha 0.041kg,SH-9-9-21,0.85,,"
"
