,Unnamed: 0,id,desc,category,price,old_price,discount_type
6772,9254,131204,papagoide sööt vitakraft 0.5kg,SH-7-4,5.19,,"
"
6773,9257,976966,jäätis vanilli oreo mini 0.3l 0.21kg,SH-4-1-6,5.19,,"
"
6774,9258,1354130,alk.vaba vahuvein roosa törley 0.75l,SH-3-3,5.19,,"
"
6775,9242,1005756,müsli punane kuld täkumetsa 0.3kg,SH-13-3-16,5.19,,"
"
6776,9228,936277,juust gouda lambaläätsedega nopri 0.25kg,SH-11-3-19,5.19,,"
"
6777,9226,295214,krevetid koorimata 70 90 viking 0.45kg,SH-4-2-12,5.19,,"
"
6778,9222,973142,harilik süvameregarneel keed.koorit.180g,SH-4-2-12,5.19,,"
"
6779,9221,812771,kassieine nutribalance steri kassidele 0.8kg,SH-7-1-3,5.19,,"
"
6780,9218,1352278,vahuvein alkoholivaba törley 0.75l,SH-3-3,5.19,,"
"
6781,9216,7046826,vein vini salpitelli rosso 1l,SH-1-11-3,5.19,,"
"
6782,9215,810608,toortatar rimi 0.8kg,SH-13-18-102,5.19,,"
"
6783,9214,100515,kohv jahvatatud jacobs kronung 0.25kg,SH-13-9-44,5.19,,"
"
6784,9213,167885,šokolaadikommid vaarikamarmelaadi kalev 0.224kg,SH-9-6-7,5.19,,"
"
6785,9212,931761,juust gouda ürtidega nopri 0.25kg,SH-11-3-19,5.19,,"
"
6786,9211,141711,vaarikamoos i love eco 0.4kg,SH-13-10-54,5.19,,"
"
6787,9210,186856,oliivid kividega kuivatatud gusto 0.35kg,SH-13-10-56,5.19,,"
"
6788,9209,803078,pärnaõiemesi rimi 0.5kg,SH-13-10-53,5.19,,"
"
6789,9208,165020,kännuseened marineeritud best time 0.53kg,SH-13-10-61,5.19,,"
"
6790,9223,707400,esimene lusikas&kahvel nuk,SH-5-3,5.19,,"
"
6791,9264,947092,mahe külmutatud mustsõstrad ostrova 0.75kg,SH-19-3,5.25,,"
"
6792,9263,971582,ebaküdoonia sukaad hiie mari 0.15kg,SH-19-6-1,5.25,,"
"
6793,9260,7171701,koeramaius primadog pardifilee 0.1kg,SH-7-2-5,5.25,,"
"
6794,9261,949304,seeneletšo 0.5kg,SH-19-5,5.25,,"
"
6795,9262,156105,mesi sangaste 0.5kg,SH-19-5,5.25,,"
"
