,id,nimi,kategooria,hind,vana_hind,soodus
1368,811811,Heeringafilee suitsum. Rimi Basic 240g,SH-8-16-20,1.23,,"
"
1431,939100,Proteiinipuding kakao magusainetega Fit 150g,SH-11-2-2,1.25,,"
"
1430,939092,Proteiinipuding vanilli magusainega Fit 150g,SH-11-2-2,1.25,,"
"
1428,293864,Hapukoor Tere 20% 330g,SH-11-5-22,1.25,,"
"
1427,808079,Oad Cannellini I Love Eco 380g,SH-13-10-50,1.25,,"
"
1426,128998,Hakitud küüslauk Kotanyi 28g,SH-13-12-76,1.25,,"
"
1425,100528,Must terapipar Santa Maria 22g,SH-13-12-75,1.25,,"
"
1424,147932,Loorberilehed Kotanyi 4g,SH-13-12-76,1.25,,"
"
1423,139228,Itaalia ürdid Kotanyi 14g,SH-13-12-76,1.25,,"
"
1422,139227,Ürdid Kotanyi 17g,SH-13-12-76,1.25,,"
"
1420,134042,Kummikommid Red Band Truly Party Animals 110g,SH-9-3-2,1.25,,"
"
1419,129001,Majoraan Kotanyi 6g,SH-13-12-76,1.25,,"
"
1418,126030,Till Kotany 11g,SH-13-12-76,1.25,,"
"
1417,808078,Oad mustad I Love Eco 380g,SH-13-10-50,1.25,,"
"
1414,808923,Hommikusöögihelbed Rimi Cinna munch 250g,SH-13-3-15,1.25,,"
"
1416,126029,Basiilik kuivatatud Kotany 9 g,SH-13-12-76,1.25,,"
"
1415,812232,Valged oad Rimi Basic 400g,SH-13-7-37,1.25,,"
"
1421,139226,Tüümian Kotanyi 14g,SH-13-12-76,1.25,,"
"
1432,279501,Joogijogurt maasika-kiivi Activia 300g,SH-11-2-4,1.25,,"
"
1452,298518,Joogijogurt vaar-granaatõun Activia 300g,SH-11-2-4,1.25,,"
"
1434,948572,Prot.jogurt cremebrulee Valio ProFeel 200g,SH-11-2-3,1.25,,"
"
1412,803535,Maisihelbed Rimi 250g,SH-13-3-15,1.25,,"
"
1454,922404,Proteiinijogurt ahjuõuna Valio ProFeel 200g,SH-11-2-3,1.25,,"
"
1453,808093,Oad valged I Love Eco 380g,SH-13-10-50,1.25,,"
"
1451,940050,Kapsa-porgandi toorsalat 300g,SH-16-6,1.25,1.59,"regular
"
1450,922406,Proteiinijogurt maasika Valio ProFeel 200g,SH-11-2-3,1.25,,"
"
1449,968600,Prot.jogurt mustsõstra Valio ProFeel 200g,SH-11-2-3,1.25,,"
"
1448,808732,Peet õunamahlas Rimi 480g/295g,SH-13-10-55,1.25,,"
"
1433,168139,Küpsised täistera Digestive Kalev 200g,SH-9-5-5,1.25,,"
"
1447,811015,Purustatud tomatid ICA 390g,SH-13-10-63,1.25,,"
"
1445,1001469,Kuivatatud marjade segu Arimex Kids 1 GO 50g,SH-9-4-11,1.25,,"
"
1444,1001163,Šokolaadibatoon Crunchy Karl Fazer 55g,SH-9-9-21,1.25,,"
"
1439,808092,Aedoad punased I Love Eco 380g,SH-13-10-50,1.25,,"
"
1438,810830,Bambusevõrsed ICA Asia viilut. 227g/142g,SH-13-11-66,1.25,,"
"
1437,939091,Proteiinipuding soolakaramelli Fit 150g,SH-11-2-2,1.25,,"
"
1436,961886,Hapendatud pett MO Saaremaa 1kg,SH-11-1,1.25,,"
"
1435,801700,Kiirkaerahelbed Rimi 450g,SH-13-2-9,1.25,,"
"
1446,1001468,Kuiv.marjade ja pähklite segu Arimex 1 GO 50g,SH-9-4-13,1.25,,"
"
