,id,desc,category,price,old_price,discount_type
5335,812135,Kassisööt Nutribalance veisel.kanal.340g,SH-7-1-1,2.69,,"
"
5334,1367474,Mango-guaraana-kohviekstrakti 250ml,SH-12-8-35,2.69,,"
"
5333,810675,Heeringasalat Rimi peediga 375G,SH-8-16-20,2.69,,"
"
5331,812137,"Kassisööt Nutribalance lõh.,veisel.340g",SH-7-1-1,2.69,,"
"
5328,269302,Pelmeenid praetud Uvic 350g,SH-16-1,2.69,,"
"
5327,135796,Piknikukurk terve Põltsamaa 680/360g,SH-13-10-51,2.69,,"
"
5325,934667,Banaani-kohupiimapannkook 200g,SH-16-3,2.69,,"
"
5324,811647,Hapukapsasupp singiga Rimi 440g,SH-13-10-58,2.69,,"
"
5323,909843,Ribisnäkk Rakvere 300g,SH-8-15,2.69,,"
"
5322,191443,Kodune kurk mädarõikaga Salvest 675/358g,SH-13-10-51,2.69,,"
"
5321,981897,Mahe täistera kaerajahu Koksvere 1kg,SH-19-4,2.69,,"
"
5320,277348,"Kokteilkobartomat, 500g",SH-12-2-14,2.69,,"
"
5318,100367,Kaerahelbed jämedad röstitud Veski Mati 1kg,SH-13-2-9,2.69,,"
"
5317,940042,Juustu-küüslaugumääre 200g,SH-16-11,2.69,,"
"
5316,168962,Tee roheline vaarika&gr.õuna Lipton 20pk,SH-13-17-97,2.69,,"
"
5315,196733,Õunamahl kontsentreerit. mahlast Põltsamaa 2l,SH-3-8-1,2.69,,"
"
5313,1001159,Makaronid täistera Fussili Barilla 500g,SH-13-14-87,2.69,,"
"
5312,811900,Pastakaste Rimi Bolognese 390g,SH-13-16-20,2.69,,"
"
5311,1001174,Makaronid täistera Penne Rigate Barilla 500g,SH-13-14-87,2.69,,"
"
5310,1356890,Mahl mitmevilja–porgandi Tymbark 1l,SH-3-8-1,2.69,,"
"
5309,1356858,Mahl apelsini 100% Tymbark 1l,SH-3-8-1,2.69,,"
"
5308,154198,Mahlajook kirsi-õuna Tymbark magusainega 2l,SH-3-8-2,2.69,,"
"
5299,170183,Müsli maasika ja mandli Herkuless 350g,SH-13-3-16,2.69,,"
"
5261,810527,Makaronid Strozzapreti Selection by Rimi 500g,SH-13-14-20,2.69,,"
"
5271,906254,Vürtsine sealiha 240g,SH-8-6,2.69,,"
"
5259,294735,Täissuitsuvorst Ordu Nõo 250g,SH-8-13,2.69,,"
"
5212,7270516,Pardi pehme filee koertele Akinu 75g,SH-7-2-5,2.69,,"
"
5211,7270517,Kanaribad koertele Akinu 75g,SH-7-2-5,2.69,,"
"
5209,993064,"Mais keedu Grill, 900g",SH-12-9,2.69,,"
"
5208,7271058,Koerasööt veisemaks.kartul Piper 500g,SH-7-2-4,2.69,,"
"
5206,1010711,Martsipan soolakaramelliga Zentis 105g,SH-9-3-1,2.69,,"
"
5205,1010713,Martsipan nugatiga Zentis 105g,SH-9-3-1,2.69,,"
"
5200,994995,Sealiharibad Maks&Moorits 400g,SH-8-14-20,2.69,,"
"
5199,187613,Riisijahu Naturalisimo gluteenivaba 900g,SH-13-4-18,2.69,,"
"
5198,1010580,"Proteiinisheik Fast Caramel 0,25l",SH-13-16,2.69,,"
"
5197,1010581,"Proteiinisheik Fast Milky Choco 0,25l",SH-13-16,2.69,,"
"
5195,952596,Kirsi-kohupiimasaiake Eesti Pagar 320g,SH-4-6-23,2.69,3.59,"loyalty
"
5194,296516,Jogurtijook metsamarja Actimel 8x100g,SH-11-2-4,2.69,3.89,"loyalty
"
5193,992799,Krevetimääre avokaadoga Veladis 150g,SH-8-10-25,2.69,,"
"
5192,973683,Mooni-martsipanirull külmutatud 320g,SH-4-6-23,2.69,3.59,"loyalty
"
5190,1004604,Proteiinivahvel apelsini Nicks 40g,SH-13-16,2.69,,"
"
5189,439824,Lutipudeli otsik 2tk,SH-5-3,2.69,,"
"
5188,1370878,"Komb.jook Captain Kombucha virsiku öko 0,4l",SH-3-8-2,2.69,,"
"
5186,1008006,Pikateraline riis Ben`s Original 4x125g,SH-13-15-90,2.69,,"
"
5185,986400,Hummus musta küüslauguga 150g,SH-16-10,2.69,,"
"
5184,1004280,Maisihelbed krõbedad vitamiin. Nestle 375g,SH-13-3-15,2.69,,"
"
5181,1004597,Proteiinivahvel sarapuupähkli Nicks 40g,SH-13-16,2.69,,"
"
5180,7247371,Kassieine Schesir tuunikala-lõhe 85g,SH-7-1-1,2.69,,"
"
